central_bank_code,target_family,target_indicator_key,target_indicator,feature_indicator_key,feature_indicator,feature_category,observations,same_category,lag_score,correlation_score,pca_score,selected_lag,selection_reason,selection_score
BOE,unemployment,unemployment_rate,Unemployment Rate,ppi_core_output_mom,PPI Core Output (MoM),Inflation,55,False,0.0,0.3393622699559355,0.2382455068684382,1,"correlated_with_target,pca_driver",0.20629550701704638
BOE,unemployment,unemployment_rate,Unemployment Rate,core_rpi_yoy,Core RPI (YoY),Inflation,24,False,0.0,0.543893096897281,0.0,1,correlated_with_target,0.1931679290691843
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),cpi_index,Consumer Price Index,Inflation,70,True,0.7308599180842273,0.7308599180842273,0.2118882974725932,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.8174281831840595
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),ppi_yoy,PPI (YoY),Inflation,75,True,0.6620032664579768,0.3773323860430877,0.1624672141296354,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.6792212678384612
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),core_cpi_yoy,Core CPI (YoY),Inflation,74,True,0.0,0.9641675761607628,0.2359210660315635,1,"correlated_with_target,pca_driver,same_macro_theme",0.5671384327529634
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),cpi_headline_mom,Headline CPI (MoM),Inflation,69,True,0.4406344953335264,0.4181442179374733,0.0,5,"lag_relationship,correlated_with_target,same_macro_theme",0.559978788281329
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,75,True,0.0,0.8443729603208108,0.299368559399061,1,"correlated_with_target,pca_driver,same_macro_theme",0.5419671720061023
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),ppi_mom,PPI (MoM),Inflation,68,True,0.2410363532486375,0.1232148559832637,0.2423865560154988,6,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.4167887991591908
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),coincident_index,Coincident Index,Growth,76,False,0.0,0.7317985623910732,0.2030862697210742,1,"correlated_with_target,pca_driver",0.34500250917548314
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),unemployment_rate,Unemployment Rate,Labor,75,False,0.0,0.6467461333494562,0.2158379944502154,1,"correlated_with_target,pca_driver",0.32014953917236916
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),services_pmi,S&P Global Services PMI,Growth,77,False,0.0,0.5578251298923901,0.2276024113633742,1,"correlated_with_target,pca_driver",0.29773790067222317
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),leading_economic_index,Leading Economic Index,Growth,76,False,0.0,0.4915782262191398,0.2320006974664118,1,"correlated_with_target,pca_driver",0.2772735724857037
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),eco_watchers_current,Eco Watchers Survey Current,Sentiment,76,False,0.0,0.4807703394033835,0.2047005807097212,1,"correlated_with_target,pca_driver",0.2699361889274732
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),machine_tool_orders_yoy,Machine Tool Orders (YoY),Growth,80,False,0.0,0.379963107261173,0.3153816985389736,1,"correlated_with_target,pca_driver",0.26129618695919793
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),balance_of_trade,Balance of Trade,Growth,78,False,0.0,0.3843881990846309,0.2133737597787798,1,"correlated_with_target,pca_driver",0.24482252369220622
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),eco_watchers_outlook,Eco Watchers Survey Outlook,Sentiment,76,False,0.0,0.3924204799569272,0.184457201111493,1,"correlated_with_target,pca_driver",0.2403947241538021
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),capacity_utilization,Capacity Utilization,Growth,75,True,0.7716703300996116,0.7716703300996122,0.3302692824483402,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.8720431399419599
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),industrial_production_mom,Industrial Production (MoM),Growth,77,True,0.7218127462139567,0.721812746213956,0.2989540259049987,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.8324526635462173
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,75,True,0.7051276770984002,0.7051276770984002,0.3431737002512582,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.8240718128614889
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),services_pmi,S&P Global Services PMI,Growth,77,True,0.6464162844360852,0.646416284436085,0.2276024113633742,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.7652025750315701
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),machinery_orders_mom,Machinery Orders (MoM),Growth,75,True,0.6372626136562074,0.6372626136562074,0.0,0,"lag_relationship,correlated_with_target,same_macro_theme",0.7216969602421556
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),retail_sales_yoy,Retail Sales (YoY),Growth,75,True,0.551843888303265,0.5518438883032651,0.0,0,"lag_relationship,correlated_with_target,same_macro_theme",0.6576329162274488
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),retail_sales_mom,Retail Sales (MoM),Growth,75,True,0.4758052564207928,0.4758052564207927,0.2663012945619772,0,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.6405491364998911
BOJ,gdp_growth,gdp_qoq,GDP (QoQ),leading_economic_index,Leading Economic Index,Growth,76,True,0.4067821383960726,0.228578252323104,0.2320006974664118,2,"lag_relationship,correlated_with_target,pca_driver,same_macro_theme",0.5314255425951256
