central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,importance
BOC,inflation,core_cpi_yoy,Core CPI (YoY),random_forest,core_cpi_mom_ma6,0.0
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_pmi_lag6,0.05061051899398812
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,target_current,0.04863111126454711
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_ex_autos_mom_ma3,0.03827145008618669
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,part_time_employment_change_lag1,0.03439872526594645
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_sales_mom_ma6,0.03300385093282648
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_ex_autos_mom_lag1,0.032295921764652596
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_ex_autos_mom_ma6,0.030790218114240844
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,target_lag1,0.030657010207126977
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,employment_change_lag1,0.03063593536442447
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,part_time_employment_change_ma6,0.030041905064606432
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cpi_headline_mom_lag1,0.02956653507127876
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,wholesale_sales_mom_lag1,0.029298508406842574
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cfib_business_barometer_lag1,0.028593452820952894
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,employment_change_ma6,0.02782013395990124
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,ivey_pmi_sa_lag6,0.02777185084965809
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_sales_mom_lag6,0.023567797130671437
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,ivey_pmi_sa_lag1,0.022584713183623106
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_sales_mom_ma3,0.021819234787876514
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_sales_mom_lag1,0.02174708451790371
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_ex_autos_mom_lag3,0.019978295412512916
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,raw_materials_prices_mom_lag3,0.018488839853665038
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_yoy_lag3,0.017755795276973286
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,employment_change_ma3,0.014876667896164613
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,budget_balance_ma3,0.0136763995159168
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,retail_sales_yoy_ma3,0.013074280369976316
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_pmi_ma6,0.012859301928803411
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,budget_balance_ma6,0.012521476281662192
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,wholesale_sales_mom_ma6,0.012195993521062348
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,raw_materials_prices_mom_ma3,0.011553259985638435
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,budget_balance_lag6,0.011472383913412716
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,wholesale_sales_mom_ma3,0.011303611875514926
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,cpi_headline_mom_ma6,0.010633882179024062
BOC,gdp_growth,gdp_mom,GDP (MoM),ridge,manufacturing_pmi_lag1,0.010062085773217615
