central_bank_code,target_family,target_indicator_key,target_indicator,model,feature,scenario,baseline_prediction,scenario_prediction,prediction_delta
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_ma3,stress_2sd,-0.009560162443128987,-0.004368106355814747,0.0051920560873142405
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_ma6,positive_1sd,-0.009560162443128987,-0.006705094724833628,0.002855067718295359
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_ma6,negative_1sd,-0.009560162443128987,0.13844730427607932,0.1480074667192083
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,retail_sales_yoy_ma6,stress_2sd,-0.009560162443128987,-0.006705094724833628,0.002855067718295359
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,balance_of_trade_lag1,positive_1sd,-0.009560162443128987,-0.005889361091034958,0.003670801352094029
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,balance_of_trade_lag1,negative_1sd,-0.009560162443128987,-0.03364626669956138,-0.024086104256432393
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,balance_of_trade_lag1,stress_2sd,-0.009560162443128987,-0.005889361091034958,0.003670801352094029
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,balance_of_trade_lag3,positive_1sd,-0.009560162443128987,-0.007317618974117964,0.002242543469011023
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,balance_of_trade_lag3,negative_1sd,-0.009560162443128987,-0.015979841336337487,-0.0064196788932085
SNB,gdp_growth,gdp_qoq,GDP (QoQ),random_forest,balance_of_trade_lag3,stress_2sd,-0.009560162443128987,-0.006934690759435353,0.0026254716836936346
