central_bank_code,target_family,target_indicator_key,target_indicator,model,split,observations,rmse,mae,mape_pct
FED,unemployment,unemployment_rate,Unemployment Rate,ridge,validation,12,0.06188806154782838,0.05369878892540834,16.18994177720616
FED,unemployment,unemployment_rate,Unemployment Rate,ridge,test,12,0.07703168200664313,0.05964414622503261,27.635563712185114
FED,unemployment,unemployment_rate,Unemployment Rate,random_forest,validation,12,0.13390909990372202,0.08230221264261794,24.899307319338124
FED,unemployment,unemployment_rate,Unemployment Rate,random_forest,test,12,0.6446648771708766,0.5717718586691499,244.92533020990055
FED,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,validation,12,0.8828318931195726,0.8401092864679792,251.0704468077664
FED,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,test,12,1.5969986818494786,1.5673836776120715,664.3109959635066
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),persistence_baseline,validation,12,0.09421283560877292,0.07162654362323788,40.352175042458434
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),persistence_baseline,test,12,0.1469237013312007,0.1263997828645374,164.7250571378411
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),ridge,validation,12,0.30428943231002586,0.27158456473596515,56.74562653098128
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),ridge,test,12,0.27091362486934756,0.24098185024449661,465.9308274036849
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),random_forest,validation,12,0.6223432908925974,0.5920491899547938,130.2804092006678
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),random_forest,test,12,0.5534386922443252,0.5464701063308947,985.7008556001288
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),hist_gradient_boosting,validation,12,0.5735459877942053,0.5074354270417413,99.59066348475672
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),hist_gradient_boosting,test,12,0.9278714481714951,0.7847037106167863,1559.450319701971
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),persistence_baseline,validation,12,0.11277495834405031,0.0902922293753919,224.64420265856333
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),persistence_baseline,test,12,0.08163835719476682,0.029344974547002384,19.994765583000884
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),ridge,validation,12,0.8308096565355909,0.6807544779742072,1779.004414627885
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),ridge,test,12,0.6688794766688996,0.4650999273809609,343.27413892469735
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),random_forest,validation,12,0.2825142825925693,0.23932866082506177,517.8491106413838
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),random_forest,test,12,0.17997181789767752,0.16220171602571185,90.88573421438163
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),hist_gradient_boosting,validation,12,0.19117681917169352,0.13561210214093383,339.75563772281583
RBA,gdp_growth,retail_sales_mom,Retail Sales (MoM),hist_gradient_boosting,test,12,0.3017251765916687,0.2381644975346081,132.70854716264495
RBA,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,validation,12,0.0850191054922281,0.06208917586267293,14.415397433162788
RBA,unemployment,unemployment_rate,Unemployment Rate,persistence_baseline,test,12,0.1370891884016256,0.0931337637940094,147.92300936768126
RBA,unemployment,unemployment_rate,Unemployment Rate,ridge,validation,12,0.27125058752957915,0.2084200754824178,47.12341286473478
RBA,unemployment,unemployment_rate,Unemployment Rate,ridge,test,12,0.46194956083119254,0.4133292923633092,458.40257881481017
RBA,unemployment,unemployment_rate,Unemployment Rate,random_forest,validation,12,0.26655906112883715,0.23411716419540918,56.60076546470921
RBA,unemployment,unemployment_rate,Unemployment Rate,random_forest,test,12,0.19778263761492432,0.16944865945706644,97.59883586518305
RBA,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,validation,12,0.8104172641759377,0.7614719917737925,188.30671350767858
RBA,unemployment,unemployment_rate,Unemployment Rate,hist_gradient_boosting,test,12,0.652989218918656,0.5207723948225692,452.8220915065222
RBNZ,inflation,cpi_headline_yoy,Headline CPI (YoY),persistence_baseline,validation,12,0.09410190265607574,0.06503332999337165,10.053917070163742
