weight_id,country_code,currency_code,macro_theme,headline_target_type,headline_indicator_id,headline_indicator_key,candidate_indicator_id,candidate_indicator_key,candidate_indicator_name,lag_months,observation_pairs,correlation,abs_correlation,sample_adjustment,multicollinearity_penalty,raw_weight,assigned_weight,signal_direction,confidence_bucket,processed_at
81,JP,JPY,Inflation,CPI,113,cpi_headline_mom,101,cpi_headline_yoy,Headline CPI (YoY),0,72,0.522976,0.522976,1.000000,1.000000,0.522976,0.370499,1.000000,medium,2026-04-24T19:46:38.494302+00:00
82,JP,JPY,Inflation,CPI,101,cpi_headline_yoy,196,machine_tool_orders_yoy,Machine Tool Orders (YoY),5,70,-0.426322,0.426322,1.000000,1.000000,0.426322,0.302025,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
83,JP,JPY,Inflation,CPI,101,cpi_headline_yoy,247,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),2,72,0.462248,0.462248,1.000000,1.000000,0.462248,0.327476,1.000000,medium,2026-04-24T19:46:38.494302+00:00
84,JP,JPY,Labor,UNEMPLOYMENT,103,unemployment_rate,256,leading_index_mom,Leading Index (MoM),3,30,0.536491,0.536491,1.000000,1.000000,0.536491,1.000000,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
85,NZ,NZD,Inflation,CPI,140,cpi_headline_qoq,147,business_confidence,Business Confidence,1,26,0.424822,0.424822,1.000000,1.000000,0.424822,0.483506,1.000000,medium,2026-04-24T19:46:38.494302+00:00
86,NZ,NZD,Inflation,CPI,137,cpi_headline_yoy,148,capacity_utilization,Capacity Utilization,0,24,-0.453807,0.453807,1.000000,1.000000,0.453807,0.516494,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
87,UK,GBP,Growth,GDP,60,gdp_qoq,58,gdp_mom,GDP (MoM),4,38,-0.897497,0.897497,1.000000,1.000000,0.897497,0.103828,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
88,UK,GBP,Growth,GDP,60,gdp_qoq,59,gdp_yoy,GDP (YoY),4,38,-0.765807,0.765807,1.000000,1.000000,0.765807,0.088593,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
89,UK,GBP,Growth,GDP,60,gdp_qoq,64,retail_sales_mom,Retail Sales (MoM),1,40,0.812022,0.812022,1.000000,0.650000,0.527814,0.061061,1.000000,medium,2026-04-24T19:46:38.494302+00:00
90,UK,GBP,Growth,GDP,60,gdp_qoq,65,industrial_production_yoy,Industrial Production (YoY),0,44,0.588490,0.588490,1.000000,1.000000,0.588490,0.068080,1.000000,medium,2026-04-24T19:46:38.494302+00:00
91,UK,GBP,Growth,GDP,60,gdp_qoq,80,house_price_index_yoy,House Price Index (YoY),5,49,-0.824663,0.824663,1.000000,1.000000,0.824663,0.095402,-1.000000,high,2026-04-24T19:46:38.494302+00:00
92,UK,GBP,Growth,GDP,60,gdp_qoq,81,public_sector_net_borrowing,Public Sector Net Borrowing,3,39,-0.568163,0.568163,1.000000,1.000000,0.568163,0.065728,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
93,UK,GBP,Growth,GDP,60,gdp_qoq,83,cbi_industrial_trends_orders,CBI Industrial Trends Orders,0,42,0.442761,0.442761,1.000000,1.000000,0.442761,0.051221,1.000000,medium,2026-04-24T19:46:38.494302+00:00
94,UK,GBP,Growth,GDP,60,gdp_qoq,84,consumer_confidence,Consumer Confidence,4,42,-0.650631,0.650631,1.000000,1.000000,0.650631,0.075269,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
95,UK,GBP,Growth,GDP,60,gdp_qoq,85,retail_sales_yoy,Retail Sales (YoY),4,40,-0.938885,0.938885,1.000000,1.000000,0.938885,0.108616,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
96,UK,GBP,Growth,GDP,60,gdp_qoq,86,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),3,40,-0.752389,0.752389,1.000000,0.650000,0.489053,0.056576,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
97,UK,GBP,Growth,GDP,60,gdp_qoq,87,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),4,40,-0.894301,0.894301,1.000000,1.000000,0.894301,0.103458,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
98,UK,GBP,Growth,GDP,60,gdp_qoq,185,niesr_monthly_gdp_tracker,NIESR Monthly GDP Tracker,0,59,0.491490,0.491490,1.000000,1.000000,0.491490,0.056858,1.000000,medium,2026-04-24T19:46:38.494302+00:00
99,UK,GBP,Growth,GDP,60,gdp_qoq,186,house_price_index_mom,House Price Index (MoM),0,47,0.564546,0.564546,1.000000,1.000000,0.564546,0.065310,1.000000,medium,2026-04-24T19:46:38.494302+00:00
100,UK,GBP,Inflation,CPI,50,cpi_headline_mom,48,core_cpi_yoy,Core CPI (YoY),0,69,0.509869,0.509869,1.000000,1.000000,0.509869,0.116939,1.000000,medium,2026-04-24T19:46:38.494302+00:00
101,UK,GBP,Inflation,CPI,50,cpi_headline_mom,49,cpi_headline_yoy,Headline CPI (YoY),0,74,0.443022,0.443022,1.000000,0.650000,0.287964,0.066045,1.000000,medium,2026-04-24T19:46:38.494302+00:00
102,UK,GBP,Inflation,CPI,49,cpi_headline_yoy,57,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),1,85,0.402796,0.402796,1.000000,1.000000,0.402796,0.092382,1.000000,medium,2026-04-24T19:46:38.494302+00:00
103,UK,GBP,Inflation,CPI,49,cpi_headline_yoy,61,manufacturing_pmi,Manufacturing PMI,6,39,-0.576249,0.576249,1.000000,1.000000,0.576249,0.132164,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
104,UK,GBP,Inflation,CPI,50,cpi_headline_mom,62,services_pmi,Services PMI,1,44,0.437246,0.437246,1.000000,0.650000,0.284210,0.065184,1.000000,medium,2026-04-24T19:46:38.494302+00:00
105,UK,GBP,Inflation,CPI,50,cpi_headline_mom,63,composite_pmi,Composite PMI,5,41,-0.538918,0.538918,1.000000,0.650000,0.350297,0.080341,-1.000000,medium,2026-04-24T19:46:38.494302+00:00
