central_bank_code,currency,indicator_key,indicator,shock,baseline_pearson_ic,scenario_pearson_ic,pearson_ic_delta,baseline_hit_rate,scenario_hit_rate,hit_rate_delta,sensitivity_magnitude
BOC,CAD,full_time_employment_change,Full-Time Employment Change,plus_20pct,-0.15295433463870756,-0.15303387726004372,-7.954262133616496e-05,0.5066666666666667,0.5066666666666667,0.0,7.954262133616496e-05
BOJ,JPY,retail_sales_yoy,Retail Sales (YoY),minus_20pct,0.0028546048305205522,0.0027793565801025534,-7.524825041799882e-05,0.4666666666666667,0.4666666666666667,0.0,7.524825041799882e-05
BOJ,JPY,retail_sales_yoy,Retail Sales (YoY),plus_20pct,0.0028546048305205522,0.00292767679759121,7.307196707065757e-05,0.4666666666666667,0.4666666666666667,0.0,7.307196707065757e-05
FED,USD,core_ppi_yoy,Core PPI (YoY),minus_20pct,0.20315680532959624,0.20310735859493043,-4.9446734665808956e-05,0.5084745762711864,0.5084745762711864,0.0,4.9446734665808956e-05
FED,USD,core_ppi_yoy,Core PPI (YoY),plus_20pct,0.20315680532959624,0.20319791966122192,4.111433162568012e-05,0.5084745762711864,0.5084745762711864,0.0,4.111433162568012e-05
FED,USD,pce_price_index_yoy,PCE Price Index (YoY),plus_20pct,0.20315680532959624,0.2031205681017019,-3.623722789433681e-05,0.5084745762711864,0.5084745762711864,0.0,3.623722789433681e-05
RBA,AUD,producer_price_index_yoy,Producer Price Index (YoY),minus_20pct,-0.1383878319758714,-0.13835684435725698,3.098761861441979e-05,0.4666666666666667,0.4666666666666667,0.0,3.098761861441979e-05
FED,USD,pce_price_index_yoy,PCE Price Index (YoY),minus_20pct,0.20315680532959624,0.20317604190581393,1.9236576217690482e-05,0.5084745762711864,0.5084745762711864,0.0,1.9236576217690482e-05
RBA,AUD,producer_price_index_yoy,Producer Price Index (YoY),plus_20pct,-0.1383878319758714,-0.13840302190658726,-1.5189930715864275e-05,0.4666666666666667,0.4666666666666667,0.0,1.5189930715864275e-05
RBA,AUD,consumer_inflation_expectation,Consumer Inflation Expectation,minus_20pct,-0.1383878319758714,-0.13837910371132273,8.728264548674147e-06,0.4666666666666667,0.4666666666666667,0.0,8.728264548674147e-06
