central_bank_code,currency,indicator_key,indicator,indicator_category,target_families,initial_signed_weight,initial_abs_weight,avg_abs_correlation,avg_model_importance,avg_pca_score,economic_rationale,initial_normalized_abs_weight
BOE,GBP,core_rpi_yoy,Core RPI (YoY),Inflation,"gdp_growth,inflation,unemployment",-0.0058103667107501315,0.0058103667107501315,0.23187925385108676,0.0015730484281426668,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson 0.54. moderate positive Pearson correlation (0.54); Spearman 0.59; model importance signal 0.00",0.008671170888509138
BOE,GBP,house_price_index_mom,House Price Index (MoM),Housing,"gdp_growth,inflation,unemployment",0.004195276685526699,0.004195276685526699,0.13845518161101458,0.0,0.2192923964610399,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson -0.22. weak negative Pearson correlation (-0.22); Spearman -0.19; PCA loading signal 0.22",0.006260871796176827
BOE,GBP,retail_sales_mom,Retail Sales (MoM),Growth,"gdp_growth,inflation,unemployment",-0.003022125669052499,0.003022125669052499,0.06018228451477257,0.0,0.1735213017312006,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.09. weak positive Pearson correlation (0.09); Spearman -0.06; same macro theme; PCA loading signal 0.17",0.0045101057174962815
BOE,GBP,retail_sales_ex_fuel_mom,Retail Sales Ex Fuel (MoM),Growth,"gdp_growth,inflation,unemployment",-0.002642934580325367,0.002642934580325367,0.05642090732510193,0.020130533790796434,0.1733677293344962,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.07. weak positive Pearson correlation (0.07); Spearman -0.08; same macro theme; PCA loading signal 0.17; model importance signal 0.06",0.003944215319620121
BOE,GBP,composite_pmi,Composite PMI,Growth,"gdp_growth,inflation,unemployment",-0.0022339523275519014,0.0022339523275519014,0.22114326286781652,0.0016713259485917002,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.39. weak negative Pearson correlation (-0.39); Spearman -0.44; same macro theme; model importance signal 0.01",0.003333865718517522
BOE,GBP,services_pmi,Services PMI,Growth,"gdp_growth,inflation,unemployment",0.0006852736321729331,0.0006852736321729331,0.33466223906013304,0.0,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson -0.45. moderate negative Pearson correlation (-0.45); Spearman -0.42; same macro theme",0.0010226763758244297
BOE,GBP,cbi_business_optimism,CBI Business Optimism Index,Sentiment,"gdp_growth,inflation,unemployment",0.00028722636906039966,0.00028722636906039966,0.2822975413514156,0.020368907772906602,0.176866111848199,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.64. moderate positive Pearson correlation (0.64); Spearman 0.11; PCA loading signal 0.18; model importance signal 0.06",0.0004286457385212402
BOJ,JPY,services_pmi,S&P Global Services PMI,Growth,"gdp_growth,inflation,unemployment",0.03977402122778197,0.03977402122778197,0.5006541107363575,0.10690132748075883,0.2276024113633742,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.65. moderate positive Pearson correlation (0.65); Spearman 0.14; same macro theme; PCA loading signal 0.23; model importance signal 0.02",0.05256314922782799
BOJ,JPY,coincident_index,Coincident Index,Growth,"gdp_growth,inflation,unemployment",0.03891060779924163,0.03891060779924163,0.44805742579145963,0.10862800366985981,0.20308626972107416,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.59. moderate negative Pearson correlation (-0.59); Spearman -0.57; PCA loading signal 0.20; model importance signal 0.05",0.05142210973801206
BOJ,JPY,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,"gdp_growth,inflation,unemployment",0.03881727076633423,0.03881727076633423,0.4707342617995763,0.0094398985943179,0.299368559399061,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.84. strong positive Pearson correlation (0.84); Spearman 0.79; same macro theme; PCA loading signal 0.30; model importance signal 0.01",0.05129876067151719
BOJ,JPY,cpi_index,Consumer Price Index,Inflation,"gdp_growth,inflation,unemployment",0.0356769060494593,0.0356769060494593,0.4230568741208751,0.018530068690063534,0.2118882974725932,"Linked to gdp_growth, inflation, unemployment; strongest target link is inflation with Pearson 0.73. strong positive Pearson correlation (0.73); Spearman 0.70; same macro theme; PCA loading signal 0.21; model importance signal 0.04",0.047148628144117515
BOJ,JPY,composite_pmi,S&P Global Composite PMI,Growth,"gdp_growth,inflation,unemployment",0.03516686428698413,0.03516686428698413,0.44755797307042827,0.0,0.2360756317683934,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.64. moderate positive Pearson correlation (0.64); Spearman 0.15; same macro theme; PCA loading signal 0.24",0.046474585126946286
BOJ,JPY,leading_economic_index,Leading Economic Index,Growth,"gdp_growth,inflation,unemployment",0.03151523059412227,0.03151523059412227,0.34326354463861525,0.037444635347180864,0.2320006974664118,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.31. weak negative Pearson correlation (-0.31); Spearman -0.27; PCA loading signal 0.23; model importance signal 0.03",0.04164878776479291
BOJ,JPY,retail_sales_yoy,Retail Sales (YoY),Growth,"gdp_growth,inflation,unemployment",0.029962587076565465,0.029962587076565465,0.3799305810965481,0.010178606404059,0.0,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.55. moderate positive Pearson correlation (0.55); Spearman 0.31; same macro theme; model importance signal 0.03",0.039596899864306936
BOJ,JPY,eco_watchers_current,Eco Watchers Survey Current,Sentiment,"gdp_growth,inflation,unemployment",0.029790711836024567,0.029790711836024567,0.42481084540226766,0.005653091450478767,0.2047005807097212,"Linked to gdp_growth, inflation, unemployment; strongest target link is gdp_growth with Pearson 0.68. moderate positive Pearson correlation (0.68); Spearman 0.38; PCA loading signal 0.20",0.03936975904127118
BOJ,JPY,tankan_large_non_manufacturing_index,Tankan Large Non-Manufacturing Index,Sentiment,"gdp_growth,inflation,unemployment",0.029541159045827364,0.029541159045827364,0.49127734911533,0.0,0.2133580552271639,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.59. moderate negative Pearson correlation (-0.59); Spearman -0.52; PCA loading signal 0.21",0.03903996385973208
BOJ,JPY,tankan_non_manufacturing_outlook,Tankan Non-Manufacturing Outlook,Sentiment,"gdp_growth,inflation,unemployment",0.02906886257818073,0.02906886257818073,0.48752296535640244,0.0,0.2286753286219133,"Linked to gdp_growth, inflation, unemployment; strongest target link is unemployment with Pearson -0.50. moderate negative Pearson correlation (-0.50); Spearman -0.47; PCA loading signal 0.23",0.038415802939051884
