central_bank_code,month,strength_score
ECB,2020-09-01,-0.3628019706174641
ECB,2020-10-01,-0.31875698300691757
ECB,2020-11-01,-0.3262947481847908
ECB,2020-12-01,-0.33395817900387836
ECB,2021-01-01,-0.23622598617303048
ECB,2021-02-01,-0.2918825913044989
ECB,2021-03-01,-0.06412799176698651
ECB,2021-04-01,0.1257032737212563
ECB,2021-05-01,-0.1132334680293602
ECB,2021-06-01,-0.21170487180090403
ECB,2021-07-01,-0.2043129204299533
ECB,2021-08-01,-0.12812699303264527
ECB,2021-09-01,-0.06979803908262414
ECB,2021-10-01,-0.0014750233869703934
ECB,2021-11-01,0.005466152054128062
ECB,2021-12-01,-0.01417559096833024
ECB,2022-01-01,0.002283513784176329
ECB,2022-02-01,0.11676426480959753
ECB,2022-03-01,0.24386675127856333
ECB,2022-04-01,0.19204055730605235
ECB,2022-05-01,0.25023770920458804
ECB,2022-06-01,0.28693952259580385
ECB,2022-07-01,0.33515484341590623
ECB,2022-08-01,0.4059339431064576
ECB,2022-09-01,0.48920694078356375
ECB,2022-10-01,0.5578902761039614
ECB,2022-11-01,0.4282596776888931
ECB,2022-12-01,0.35231702783352237
ECB,2023-01-01,0.31774013189114664
ECB,2023-02-01,0.3490179313371355
ECB,2023-03-01,0.26840637850275206
ECB,2023-04-01,0.31071106737955845
ECB,2023-05-01,0.26826157087310076
ECB,2023-06-01,0.2611380127074072
ECB,2023-07-01,0.24305684923387372
ECB,2023-08-01,0.2363379865777291
ECB,2023-09-01,0.16025356785994435
ECB,2023-10-01,0.09077704501100325
ECB,2023-11-01,-0.013920047156809235
ECB,2023-12-01,0.08406990417285423
ECB,2024-01-01,0.010012686293164288
ECB,2024-02-01,0.029148829962743955
ECB,2024-03-01,0.018764866533988254
ECB,2024-04-01,-0.02177812324407225
ECB,2024-05-01,-0.04082266470133916
ECB,2024-06-01,-0.022745608019316535
ECB,2024-07-01,-0.03559994660972981
ECB,2024-08-01,-0.033071654170131255
ECB,2024-09-01,-0.051409569233942534
ECB,2024-10-01,-0.017456605972576134
ECB,2024-11-01,-0.018915771174140568
ECB,2024-12-01,0.004975448016468525
ECB,2025-01-01,-0.019738945206675053
ECB,2025-02-01,-0.0008695953946701593
ECB,2025-03-01,-0.02858295659201303
ECB,2025-04-01,0.09326854138332483
ECB,2025-05-01,0.0037644355178119374
ECB,2025-06-01,-0.026801462667884787
ECB,2025-07-01,-0.011393083144307998
ECB,2025-08-01,-0.033701286243269464
ECB,2025-09-01,-0.0296848073198362
ECB,2025-10-01,-0.017011487192721945
ECB,2025-11-01,-0.05468663456136645
ECB,2025-12-01,-0.062264495559170824
ECB,2026-01-01,-0.14993360759095742
ECB,2026-02-01,-0.0801731037208255
ECB,2026-03-01,-0.04184223618994467
ECB,2026-04-01,-0.15331170511293882
FED,2020-02-01,-0.26405747627202464
FED,2020-03-01,-0.7686360153644353
FED,2020-04-01,-2.456977409143344
FED,2020-05-01,-0.899124515678223
FED,2020-06-01,-0.04980563037207271
FED,2020-08-01,-0.12909386579908355
FED,2020-09-01,-0.3090232539050103
FED,2020-10-01,-0.28388508144319025
FED,2020-11-01,-0.3012563141605348
FED,2020-12-01,-0.07639609511338583
FED,2021-02-01,-0.08951233771877297
FED,2021-03-01,0.3343839693432238
FED,2021-04-01,0.5382021758708531
FED,2021-05-01,0.525218474285938
FED,2021-06-01,0.0021528426315126498
FED,2021-08-01,0.04238370335377701
FED,2021-09-01,0.30383193672438463
FED,2021-10-01,0.5880600305268686
FED,2021-11-01,0.7200880977392551
FED,2021-12-01,0.042103714664765625
FED,2022-02-01,0.15847337021506988
FED,2022-03-01,0.9834282068759542
FED,2022-04-01,0.6666387611953261
FED,2022-05-01,0.763545886322747
FED,2022-06-01,0.06472019277971634
FED,2022-08-01,0.1501468722904794
