central_bank_code,indicator_key,indicator,indicator_category,observations,contribution_pearson_ic,contribution_spearman_ic,contribution_hit_rate,impact_score
BOJ,unemployment_rate,Unemployment Rate,Labor,74,0.05713778280454217,0.12268080118186464,0.5135135135135135,0.07077853716223587
BOJ,exports_yoy,Exports (YoY),Growth,75,0.06966266666808131,0.10417229763245227,0.49333333333333335,0.06341635595710966
BOJ,ppi_mom,PPI (MoM),Inflation,67,0.07632937829372714,0.05808637199118888,0.47761194029850745,0.046635376863623214
BOJ,current_account,Current Account,Growth,74,0.06851834403782064,0.04500555349870417,0.47297297297297297,0.036950027257710766
BOJ,household_spending_yoy,Household Spending (YoY),Growth,74,-0.04682303433614089,0.0033475530896714023,0.5945945945945946,0.015430586596668829
BOJ,cpi_headline_yoy,Headline CPI (YoY),Inflation,74,0.011696867754695481,0.02318119638654271,0.4864864864864865,0.007397387387905158
BOJ,coincident_index,Coincident Index,Growth,74,0.009836756922878404,0.013581865281331772,0.4864864864864865,0.0035875326404333392
BOJ,cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,74,0.010784963961615221,-0.01840218319892553,0.4864864864864865,-0.005533578384275444
BOJ,core_cpi_yoy,Core CPI (YoY),Inflation,73,0.011269919387643521,-0.01488102464999068,0.4794520547945205,-0.007048525783367236
BOJ,cpi_index,Consumer Price Index,Inflation,70,-0.017524676769679597,-0.026913926604506727,0.5142857142857142,-0.011122230651906121
BOJ,industrial_production_mom,Industrial Production (MoM),Growth,75,-0.03739451416720184,-0.00792391903065491,0.52,-0.013074432792797387
BOJ,retail_sales_yoy,Retail Sales (YoY),Growth,74,-0.06342907462632458,-0.053007301857718604,0.581081081081081,-0.015184295438045455
BOJ,balance_of_trade,Balance of Trade,Growth,75,-0.04384571929513604,-0.043869132290184916,0.5466666666666666,-0.01641693266795684
BOJ,coincident_indicator_mom,Coincident Indicator (MoM),Growth,22,-0.030442215234582595,0.028248592078999386,0.45454545454545453,-0.02492834817540967
BOJ,retail_sales_mom,Retail Sales (MoM),Growth,74,-0.06295415847073219,-0.09567982908992977,0.5135135135135135,-0.05477562255693963
BOJ,ppi_yoy,PPI (YoY),Inflation,74,-0.11317181395726515,-0.08977796404027591,0.5540540540540541,-0.06189767456909373
BOJ,services_pmi,S&P Global Services PMI,Growth,75,-0.06789099148912721,-0.09023840530610557,0.49333333333333335,-0.06368368400306193
