central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
ECB,gdp_growth,gdp_qoq,GDP (QoQ),unemployment_rate,Unemployment Rate,Labor,1,23,0.12021064343820698,-0.03581267329938191,0.12021064343820698,0.03581267329938191,positive,False,0.3711035434790552,0.0249043249307593,0.3194444444444444,0.14620254520024195,currency_positive,weak positive Pearson correlation (0.12); Spearman -0.04; PCA loading signal 0.37; model importance signal 0.02,0.06230654842360628,6.230654842360628
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,2,71,0.8729672040528339,0.2221532287896352,0.8729672040528339,0.2221532287896352,positive,True,0.2961141172266595,0.037549217549384,0.9861111111111112,0.5846158261690823,currency_positive,strong positive Pearson correlation (0.87); Spearman 0.22; same macro theme; PCA loading signal 0.30; model importance signal 0.04,0.06211654331412223,6.211654331412223
BOC,inflation,core_cpi_yoy,Core CPI (YoY),ppi_yoy,PPI (YoY),Inflation,2,75,0.5668323810651925,0.5194220579467554,0.5668323810651925,0.5194220579467554,positive,True,0.2850960545906697,0.048912388805639,1.0,0.553566521832188,policy_tightening_positive_but_regime_dependent,moderate positive Pearson correlation (0.57); Spearman 0.52; same macro theme; PCA loading signal 0.29; model importance signal 0.05,0.061888155371358396,6.18881553713584
BOC,gdp_growth,retail_sales_mom,Retail Sales (MoM),wholesale_sales_mom,Wholesale Sales (MoM),Growth,2,72,0.8482296645382541,0.26068444943826424,0.8482296645382541,0.26068444943826424,positive,True,0.2825079123473913,0.0292985084068425,1.0,0.5824379599008227,currency_positive,strong positive Pearson correlation (0.85); Spearman 0.26; same macro theme; PCA loading signal 0.28; model importance signal 0.03,0.061885140881397835,6.188514088139783
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),producer_price_index_yoy,Producer Price Index (YoY),Inflation,2,25,0.8682017160814696,0.8789514916808439,0.8682017160814696,0.8789514916808439,positive,True,0.2956188215830626,0.0336437464436753,0.3472222222222222,0.649903860163208,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.87); Spearman 0.88; same macro theme; PCA loading signal 0.30; model importance signal 0.03,0.06182249405306124,6.182249405306124
RBNZ,unemployment,unemployment_rate,Unemployment Rate,capacity_utilization,Capacity Utilization,Growth,3,25,-0.26866230366690413,-0.39015630134187357,0.26866230366690413,0.39015630134187357,negative,False,0.4462103334839835,0.0349221096367474,0.3472222222222222,0.27960679225603224,currency_positive,weak negative Pearson correlation (-0.27); Spearman -0.39; PCA loading signal 0.45; model importance signal 0.03,0.06148259784368694,6.148259784368694
BOE,inflation,core_cpi_yoy,Core CPI (YoY),retail_price_index_yoy,Retail Price Index (YoY),Inflation,3,76,0.9021028023622285,0.9084988721593643,0.9021028023622285,0.9084988721593643,positive,True,0.2535130341110903,0.0443457622552597,1.0,0.7255017408639317,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.90); Spearman 0.91; same macro theme; PCA loading signal 0.25; model importance signal 0.04,0.060794869478766875,6.0794869478766875
BOE,inflation,core_cpi_yoy,Core CPI (YoY),cpi_headline_yoy,Headline CPI (YoY),Inflation,1,76,0.9122671361276945,0.9268714555826572,0.9122671361276945,0.9268714555826572,positive,True,0.2486118719189385,0.0,1.0,0.7238045689002487,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.91); Spearman 0.93; same macro theme; PCA loading signal 0.25,0.06065265155949315,6.065265155949315
RBA,inflation,cpi_headline_yoy,Headline CPI (YoY),rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,1,24,0.8721909035058992,0.8771845064988486,0.8721909035058992,0.8771845064988486,positive,True,0.2612950537863377,0.0,0.3333333333333333,0.6374606153664136,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.87); Spearman 0.88; same macro theme; PCA loading signal 0.26,0.06063882293706353,6.063882293706353
BOC,unemployment,unemployment_rate,Unemployment Rate,imports,Imports,Trade,2,75,-0.7133939299456565,-0.31092597873289934,0.7133939299456565,0.31092597873289934,negative,False,0.3276857085120525,0.0,1.0,0.4351868022624463,currency_positive,strong negative Pearson correlation (-0.71); Spearman -0.31; PCA loading signal 0.33,0.058219162246767035,5.821916224676704
BOJ,inflation,cpi_headline_yoy,Headline CPI (YoY),cpi_ex_food_energy_yoy,CPI Ex Food and Energy (YoY),Inflation,1,75,0.8443729603208106,0.7864620883927029,0.8443729603208106,0.7864620883927029,positive,True,0.299368559399061,0.0131739085000601,1.0,0.686730210911625,policy_tightening_positive_but_regime_dependent,strong positive Pearson correlation (0.84); Spearman 0.79; same macro theme; PCA loading signal 0.30; model importance signal 0.01,0.05785088813145326,5.785088813145326
