central_bank_code,target_family,target_indicator_key,target_indicator,indicator_key,indicator,indicator_category,importance,observations,pearson_correlation,spearman_correlation,abs_pearson,abs_spearman,direction,same_macro_theme,pca_score,model_importance_score,coverage_score,raw_weight_score,economic_direction_for_currency,justification,normalized_weight,weight_pct
BOC,inflation,core_cpi_yoy,Core CPI (YoY),employment_change,Employment Change,Labor,1,76,0.02130959964147585,-0.1051933430779741,0.02130959964147585,0.1051933430779741,positive,False,0.3072153942361847,0.0,1.0,0.18273031947055082,policy_tightening_positive_but_regime_dependent,weak positive Pearson correlation (0.02); Spearman -0.11; PCA loading signal 0.31,0.0204290576767929,2.04290576767929
BOC,inflation,core_cpi_yoy,Core CPI (YoY),wholesale_sales_mom,Wholesale Sales (MoM),Growth,2,74,-0.02650387601986815,-0.08319246752474228,0.02650387601986815,0.08319246752474228,negative,False,0.2825079123473913,0.0,1.0,0.17544108053343935,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.03); Spearman -0.08; PCA loading signal 0.28,0.019614128424232963,1.9614128424232962
BOC,inflation,core_cpi_yoy,Core CPI (YoY),retail_sales_mom,Retail Sales (MoM),Growth,1,72,-0.047200527959355476,-0.022127241772958932,0.047200527959355476,0.022127241772958932,negative,False,0.2821038372612122,0.0,1.0,0.1693642974494166,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.05); Spearman -0.02; PCA loading signal 0.28,0.018934750461820617,1.8934750461820617
BOC,inflation,core_cpi_yoy,Core CPI (YoY),manufacturing_sales_mom,Manufacturing Sales (MoM),Growth,2,74,-0.019996228167764658,-0.04553911176318375,0.019996228167764658,0.04553911176318375,negative,False,0.2961141172266595,0.0,1.0,0.16840723190376486,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.02); Spearman -0.05; PCA loading signal 0.30,0.018827751539642616,1.8827751539642616
BOC,inflation,core_cpi_yoy,Core CPI (YoY),vehicle_sales_mom,Vehicle Sales (MoM),Growth,3,20,-0.060570962101843887,-0.08754779315133372,0.060570962101843887,0.08754779315133372,negative,False,0.2022084495327679,0.0,0.2777777777777778,0.0998561459544959,disinflationary_or_growth_sensitive,weak negative Pearson correlation (-0.06); Spearman -0.09; PCA loading signal 0.20,0.011163812174122599,1.1163812174122598
BOC,unemployment,unemployment_rate,Unemployment Rate,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,76,-0.7034072156550026,-0.774756485001441,0.7034072156550026,0.774756485001441,negative,False,0.3886655144833463,0.1197975739411178,1.0,0.5562988418737814,currency_positive,strong negative Pearson correlation (-0.70); Spearman -0.77; PCA loading signal 0.39; model importance signal 0.12,0.0744214952392022,7.442149523920221
BOC,unemployment,unemployment_rate,Unemployment Rate,exports,Exports,Trade,2,75,-0.7875321295728707,-0.5999147980996693,0.7875321295728707,0.5999147980996693,negative,False,0.2886449814289138,0.2052364482131246,1.0,0.5430888913452308,currency_positive,strong negative Pearson correlation (-0.79); Spearman -0.60; PCA loading signal 0.29; model importance signal 0.21,0.07265427194774389,7.265427194774389
BOC,unemployment,unemployment_rate,Unemployment Rate,budget_balance,Budget Balance,Growth,3,73,-0.6927581555027283,-0.5917427504474639,0.6927581555027283,0.5917427504474639,negative,False,0.2516379907446192,0.0409054449991145,1.0,0.47842476072419227,currency_positive,moderate negative Pearson correlation (-0.69); Spearman -0.59; PCA loading signal 0.25; model importance signal 0.04,0.06400352359645999,6.400352359645998
BOC,unemployment,unemployment_rate,Unemployment Rate,imports,Imports,Trade,2,75,-0.7133939299456565,-0.31092597873289934,0.7133939299456565,0.31092597873289934,negative,False,0.3276857085120525,0.0,1.0,0.4351868022624463,currency_positive,strong negative Pearson correlation (-0.71); Spearman -0.31; PCA loading signal 0.33,0.058219162246767035,5.821916224676704
BOC,unemployment,unemployment_rate,Unemployment Rate,balance_of_trade,Balance of Trade,Trade,2,75,-0.35634718013785976,-0.4535218136116389,0.35634718013785976,0.4535218136116389,negative,False,0.2338486366816714,0.0462326768843582,1.0,0.3475608264367275,currency_positive,weak negative Pearson correlation (-0.36); Spearman -0.45; PCA loading signal 0.23; model importance signal 0.05,0.046496585006126676,4.649658500612667
