central_bank_code,left_indicator_key,left_indicator,left_category,left_importance,right_indicator_key,right_indicator,right_category,right_importance,observations,correlation,abs_correlation
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,1,ny_empire_state_mfg,NY Empire State Manufacturing Index,Growth,2,25,-0.5749311259153761,0.5749311259153761
BOJ,exports_yoy,Exports (YoY),Growth,2,household_spending_yoy,Household Spending (YoY),Growth,2,75,0.5736882225272063,0.5736882225272063
FED,retail_sales_yoy,Retail Sales (YoY),Growth,2,sp_global_manufacturing_pmi,S&P Global Manufacturing PMI,Growth,2,21,0.5733693317117136,0.5733693317117136
BOC,raw_materials_prices_mom,Raw Materials Prices (MoM),Inflation,3,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,2,70,0.5724924414055887,0.5724924414055887
BOE,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,3,retail_price_index_mom,Retail Price Index (MoM),Inflation,3,63,0.5720226359084901,0.5720226359084901
RBA,composite_pmi,Composite PMI,Growth,2,full_time_employment_change,Full-Time Employment Change,Labor,1,56,0.5714647165401774,0.5714647165401774
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,1,sp_global_manufacturing_pmi,S&P Global Manufacturing PMI,Growth,2,21,0.5714553303807016,0.5714553303807016
BOC,employment_change,Employment Change,Labor,1,ivey_pmi_sa,Ivey PMI s.a.,Growth,2,72,0.5712048393477713,0.5712048393477713
RBA,ai_group_construction_index,Ai Group Construction Index,Growth,3,manufacturing_pmi,Manufacturing PMI,Growth,2,53,0.5708921801692549,0.5708921801692549
BOE,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,2,industrial_production_yoy,Industrial Production (YoY),Growth,2,75,0.5705017776647723,0.5705017776647723
FED,core_cpi_mom,Core CPI (MoM),Inflation,1,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,1,31,0.5700921584316953,0.5700921584316953
RBA,composite_pmi,Composite PMI,Growth,2,leading_index_mom,Leading Index (MoM),Growth,3,42,0.5699656960066432,0.5699656960066432
BOE,cbi_business_optimism,CBI Business Optimism Index,Sentiment,3,gdp_qoq,GDP (QoQ),Growth,1,23,0.5695080710189045,0.5695080710189045
RBA,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,2,unemployment_rate,Unemployment Rate,Labor,1,24,-0.5691338853972671,0.5691338853972671
FED,consumer_inflation_expectations,Consumer Inflation Expectations,Inflation,2,cpi_headline_mom,Headline CPI (MoM),Inflation,2,32,0.5690225136680239,0.5690225136680239
FED,adp_employment_change,ADP Employment Change,Labor,2,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,1,33,-0.5687409246363624,0.5687409246363624
RBA,private_sector_credit_mom,Private Sector Credit (MoM),Growth,3,private_sector_credit_yoy,Private Sector Credit (YoY),Growth,3,72,0.5683447758575153,0.5683447758575153
FED,adp_employment_change,ADP Employment Change,Labor,2,ppi_mom,PPI (MoM),Inflation,2,32,0.567633161838059,0.567633161838059
BOJ,tankan_large_manufacturers_index,Tankan Large Manufacturers Index,Sentiment,2,tertiary_industry_index_mom,Tertiary Industry Index (MoM),Growth,2,25,0.5675931099625989,0.5675931099625989
