central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations,tested_max_lag,best_granger_lag,min_granger_p_value,granger_significant_05
SNB,cpi_headline_yoy,Headline CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,2,0.49713117160031073,0.49713117160031073,54,6,1,0.13642995896241628,False
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,2,0.6828692620550699,0.6828692620550699,23,4,4,0.1439410972883393,False
BOE,gdp_yoy,GDP (YoY),Growth,composite_pmi,Composite PMI,Growth,2,-0.4370235101654667,0.4370235101654667,24,4,2,0.14427468371805655,False
BOJ,gdp_qoq,GDP (QoQ),Growth,machinery_orders_mom,Machinery Orders (MoM),Growth,0,0.6372626136562074,0.6372626136562074,24,4,3,0.1455763358319372,False
FED,cpi_headline_yoy,Headline CPI (YoY),Inflation,core_ppi_mom,Core PPI (MoM),Inflation,3,0.6708795220957091,0.6708795220957091,27,5,1,0.14643206290388946,False
BOE,unemployment_rate,Unemployment Rate,Labor,hmrc_payrolls_change,HMRC Payrolls Change,Labor,2,-0.4590425455875842,0.4590425455875842,38,6,5,0.1485589765268256,False
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,adp_employment_change,ADP Employment Change,Labor,6,0.8025275472739808,0.8025275472739808,27,5,5,0.15172641172975387,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,0,0.7597409242187572,0.7597409242187572,30,5,4,0.15700321441215412,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,import_prices_mom,Import Prices (MoM),Inflation,0,0.8113784635528002,0.8113784635528002,31,5,1,0.1626531224621205,False
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,retail_sales_yoy,Retail Sales (YoY),Growth,0,0.7552079704875287,0.7552079704875287,32,5,5,0.16430963338164312,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,ppi_yoy,PPI (YoY),Inflation,0,0.6737675459515566,0.6737675459515566,31,5,1,0.18575886722586982,False
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,core_ppi_yoy,Core PPI (YoY),Inflation,0,0.6328000046372445,0.6328000046372445,31,5,1,0.18847248628545898,False
BOJ,cpi_headline_yoy,Headline CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,5,0.4406344953335264,0.4406344953335264,63,6,5,0.19623165958317446,False
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,6,0.47187382735071803,0.47187382735071803,62,6,2,0.21474579756091372,False
FED,core_pce_price_index_mom,Core PCE Price Index (MoM),Inflation,ppi_yoy,PPI (YoY),Inflation,0,0.5204600298428018,0.5204600298428018,33,5,1,0.21570651137959898,False
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,core_cpi_mom,Core CPI (MoM),Inflation,6,0.5108423208175443,0.5108423208175443,39,6,1,0.21693801511280697,False
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,challenger_job_cuts,Challenger Job Cuts,Labor,6,-0.8412316752322706,0.8412316752322706,28,5,1,0.2318914932187258,False
BOE,avg_earnings_excl_bonus,Average Earnings (excl. Bonus),Labor,avg_earnings_incl_bonus,Average Earnings (incl. Bonus),Labor,0,0.9230899656844133,0.9230899656844133,73,6,2,0.238489059133472,False
BOE,gdp_mom,GDP (MoM),Growth,retail_sales_ex_fuel_yoy,Retail Sales Ex Fuel (YoY),Growth,0,0.4156388932193588,0.4156388932193588,68,6,6,0.24390388233540408,False
