central_bank_code,target_indicator_key,target_indicator,target_category,candidate_indicator_key,candidate_indicator,candidate_category,best_lag_periods,best_lag_correlation,abs_best_lag_correlation,observations
FED,core_cpi_yoy,Core CPI (YoY),Inflation,export_prices_yoy,Export Prices (YoY),Inflation,5,0.8579744994884514,0.8579744994884514,30
FED,unemployment_rate,Unemployment Rate,Labor,challenger_job_cuts,Challenger Job Cuts,Labor,0,0.8513064761078255,0.8513064761078255,35
RBNZ,participation_rate,Labor Force Participation Rate,Labor,labour_cost_index_qoq,Labour Cost Index (QoQ),Labor,1,0.8498943866986552,0.8498943866986552,24
BOC,gdp_mom,GDP (MoM),Growth,wholesale_sales_mom,Wholesale Sales (MoM),Growth,0,0.8489873730529127,0.8489873730529127,70
BOC,retail_sales_mom,Retail Sales (MoM),Growth,wholesale_sales_mom,Wholesale Sales (MoM),Growth,0,0.8482296645382541,0.8482296645382541,72
FED,ism_manufacturing_pmi,ISM Manufacturing PMI,Growth,ism_manufacturing_prices,ISM Manufacturing Prices Paid,Growth,0,0.8472858590738662,0.8472858590738662,33
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_core_output_yoy,PPI Core Output (YoY),Inflation,6,0.8446490630319782,0.8446490630319782,61
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,export_prices_mom,Export Prices (MoM),Inflation,0,0.8433088724044137,0.8433088724044137,32
RBA,cpi_headline_yoy,Headline CPI (YoY),Inflation,commodity_prices_yoy,Commodity Prices (YoY),Inflation,2,0.8433031667053957,0.8433031667053957,18
ECB,core_cpi_yoy,Core HICP (YoY),Inflation,cpi_index,Consumer Price Index,Inflation,6,-0.842356078426967,0.842356078426967,44
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,challenger_job_cuts,Challenger Job Cuts,Labor,6,-0.8412316752322706,0.8412316752322706,28
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,ppi_mom,PPI (MoM),Inflation,0,0.8392000262294966,0.8392000262294966,30
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_output_yoy,PPI Output (YoY),Inflation,6,0.8355446028268324,0.8355446028268324,62
FED,unemployment_rate,Unemployment Rate,Labor,participation_rate,Labor Force Participation Rate,Labor,0,-0.8345479196448112,0.8345479196448112,36
BOC,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_yoy,PPI (YoY),Inflation,6,0.8302824974230146,0.8302824974230146,69
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,0,0.8200433932024371,0.8200433932024371,24
BOE,retail_sales_yoy,Retail Sales (YoY),Growth,industrial_production_yoy,Industrial Production (YoY),Growth,0,0.8122873929128221,0.8122873929128221,73
BOE,core_cpi_yoy,Core CPI (YoY),Inflation,ppi_input_yoy,PPI Input (YoY),Inflation,6,0.8121268200553945,0.8121268200553945,62
FED,pce_price_index_mom,PCE Price Index (MoM),Inflation,import_prices_mom,Import Prices (MoM),Inflation,0,0.8113784635528002,0.8113784635528002,31
BOC,gdp_mom,GDP (MoM),Growth,retail_sales_ex_autos_mom,Retail Sales Ex Autos (MoM),Growth,0,0.8056575920804453,0.8056575920804453,68
FED,avg_hourly_earnings_yoy,Average Hourly Earnings (YoY),Labor,adp_employment_change,ADP Employment Change,Labor,6,0.8025275472739808,0.8025275472739808,27
FED,core_pce_price_index_yoy,Core PCE Price Index (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,4,0.7998562511292655,0.7998562511292655,27
RBA,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,3,0.784179144826948,0.784179144826948,22
RBA,cpi_headline_qoq,Headline CPI (QoQ),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,0,0.7828344517070255,0.7828344517070255,24
FED,core_cpi_yoy,Core CPI (YoY),Inflation,cpi_headline_mom,Headline CPI (MoM),Inflation,5,0.7822395812824502,0.7822395812824502,27
FED,nfp,Non-Farm Payrolls,Labor,challenger_job_cuts,Challenger Job Cuts,Labor,0,-0.7821496533477501,0.7821496533477501,35
BOE,cpi_headline_yoy,Headline CPI (YoY),Inflation,ppi_core_output_mom,PPI Core Output (MoM),Inflation,6,0.7817937818345618,0.7817937818345618,49
RBA,rba_trimmed_mean_cpi_qoq,RBA Trimmed Mean CPI (QoQ),Inflation,producer_price_index_qoq,Producer Price Index (QoQ),Inflation,0,0.7812618939838821,0.7812618939838821,25
RBA,rba_weighted_median_cpi_yoy,RBA Weighted Median CPI (YoY),Inflation,consumer_inflation_expectation,Consumer Inflation Expectation,Inflation,1,0.7810341282643507,0.7810341282643507,22
RBA,rba_trimmed_mean_cpi_yoy,RBA Trimmed Mean CPI (YoY),Inflation,import_price_index_qoq,Import Price Index (QoQ),Inflation,4,0.7789145443823977,0.7789145443823977,21
