central_bank_code,component,indicator_key,indicator,primary_category,loading,abs_loading
RBNZ,PC2,labour_cost_index_qoq,Labour Cost Index (QoQ),Labor,-0.2026017318259382,0.2026017318259382
RBNZ,PC2,employment_change_qoq,Employment Change (QoQ),Labor,0.15356674494066858,0.15356674494066858
RBNZ,PC2,unemployment_rate,Unemployment Rate,Labor,-0.11404888984831196,0.11404888984831196
RBNZ,PC2,cpi_headline_yoy,Headline CPI (YoY),Inflation,-0.10653823874642729,0.10653823874642729
RBNZ,PC2,credit_card_spending_yoy,Credit Card Spending (YoY),Growth,-0.09491283900389264,0.09491283900389264
RBNZ,PC3,employment_change_qoq,Employment Change (QoQ),Labor,-0.44639987151925226,0.44639987151925226
RBNZ,PC3,exports,Exports,Growth,-0.3726955334793356,0.3726955334793356
RBNZ,PC3,cpi_headline_qoq,Headline CPI (QoQ),Inflation,-0.3694991761884383,0.3694991761884383
RBNZ,PC3,labour_cost_index_yoy,Labour Cost Index (YoY),Labor,0.3180295150300849,0.3180295150300849
RBNZ,PC3,credit_card_spending_yoy,Credit Card Spending (YoY),Growth,-0.29529804746298516,0.29529804746298516
RBNZ,PC3,imports,Imports,Growth,-0.247005129469522,0.247005129469522
RBNZ,PC3,capacity_utilization,Capacity Utilization,Growth,-0.2142224433104666,0.2142224433104666
RBNZ,PC3,participation_rate,Labor Force Participation Rate,Labor,0.21359723117070098,0.21359723117070098
RBNZ,PC3,balance_of_trade,Balance of Trade,Growth,0.21027431051670512,0.21027431051670512
RBNZ,PC3,business_confidence,Business Confidence,Growth,-0.20018336902686495,0.20018336902686495
RBNZ,PC3,global_dairy_trade_price_index,Global Dairy Trade Price Index,Growth,0.1624050115323243,0.1624050115323243
RBNZ,PC3,cpi_headline_yoy,Headline CPI (YoY),Inflation,-0.14476549282086637,0.14476549282086637
SNB,PC1,cpi_headline_yoy,Headline CPI (YoY),Inflation,-0.5163344998946099,0.5163344998946099
SNB,PC1,unemployment_rate,Unemployment Rate,Labor,0.48321777522018317,0.48321777522018317
SNB,PC1,economic_sentiment_index,Economic Sentiment Index,Sentiment,0.4509574005699118,0.4509574005699118
SNB,PC1,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,-0.36537008667215926,0.36537008667215926
SNB,PC1,cpi_headline_mom,Headline CPI (MoM),Inflation,-0.26501624093777176,0.26501624093777176
SNB,PC1,consumer_confidence,Consumer Confidence,Sentiment,0.2181253572205324,0.2181253572205324
SNB,PC1,retail_sales_yoy,Retail Sales (YoY),Growth,0.1517689963486781,0.1517689963486781
SNB,PC1,balance_of_trade,Balance of Trade,Growth,0.12220710287111171,0.12220710287111171
SNB,PC1,retail_sales_mom,Retail Sales (MoM),Growth,0.06699923095402899,0.06699923095402899
SNB,PC1,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,-0.043758949958990684,0.043758949958990684
SNB,PC1,gdp_qoq,GDP (QoQ),Growth,0.029273917539229803,0.029273917539229803
SNB,PC2,producer_import_prices_mom,Producer & Import Prices (MoM),Inflation,-0.526690470992808,0.526690470992808
SNB,PC2,consumer_confidence,Consumer Confidence,Sentiment,-0.39801045733059437,0.39801045733059437
SNB,PC2,producer_import_prices_yoy,Producer & Import Prices (YoY),Inflation,-0.35602339817554185,0.35602339817554185
